>	10.00	40.00	50.00		-155.94	17.32	35.84
>	10.00	44.00	50.00		96.90	-10.76	-36.97
>	10.00	48.00	50.00		-123.13	13.68	-181.90
>	10.00	52.00	50.00		-88.33	9.81	80.38
>	10.00	56.00	50.00		86.20	-9.57	-117.56
>	10.00	60.00	50.00		-176.76	19.63	-121.08
>	10.00	64.00	50.00		-7.52	0.84	81.46
>	10.00	68.00	50.00		34.20	-3.80	-179.80
>	10.00	72.00	50.00		-189.58	21.06	-40.80
>	10.00	76.00	50.00		61.24	-6.80	38.74
>	10.00	80.00	50.00		-42.88	4.76	-204.24
>	10.00	84.00	50.00		-157.59	17.50	33.87
>	10.00	88.00	50.00		96.49	-10.72	-34.43
>	10.00	40.00	54.00		8.35	-0.93	292.69
>	10.00	44.00	54.00		261.18	-29.01	219.88
>	10.00	48.00	54.00		41.15	-4.57	74.95
>	10.00	52.00	54.00		75.96	-8.44	337.23
>	10.00	56.00	54.00		250.49	-27.82	139.29
>	10.00	60.00	54.00		-12.48	1.39	135.77
>	10.00	64.00	54.00		156.76	-17.41	338.31
>	10.00	68.00	54.00		198.48	-22.04	77.05
>	10.00	72.00	54.00		-25.30	2.81	216.06
>	10.00	76.00	54.00		225.53	-25.05	295.59
>	10.00	80.00	54.00		121.40	-13.48	52.61
>	10.00	84.00	54.00		6.70	-0.74	290.72
>	10.00	88.00	54.00		260.78	-28.96	222.43
>	10.00	40.00	58.00		-265.24	29.46	160.31
>	10.00	44.00	58.00		-12.40	1.38	87.50
>	10.00	48.00	58.00		-232.43	25.82	-57.43
>	10.00	52.00	58.00		-197.62	21.95	204.85
>	10.00	56.00	58.00		-23.10	2.57	6.91
>	10.00	60.00	58.00		-286.06	31.77	3.40
>	10.00	64.00	58.00		-116.82	12.97	205.93
>	10.00	68.00	58.00		-75.10	8.34	-55.33
>	10.00	72.00	58.00		-298.88	33.20	83.68
>	10.00	76.00	58.00		-48.05	5.34	163.22
>	10.00	80.00	58.00		-152.18	16.90	-79.77
>	10.00	84.00	58.00		-266.88	29.64	158.34
>	10.00	88.00	58.00		-12.81	1.42	90.05
>	10.00	40.00	62.00		36.75	-4.08	129.07
>	10.00	44.00	62.00		289.58	-32.16	56.26
>	10.00	48.00	62.00		69.55	-7.72	-88.67
>	10.00	52.00	62.00		104.36	-11.59	173.61
>	10.00	56.00	62.00		278.89	-30.97	-24.33
>	10.00	60.00	62.00		15.92	-1.77	-27.84
>	10.00	64.00	62.00		185.17	-20.57	174.69
>	10.00	68.00	62.00		226.88	-25.20	-86.57
>	10.00	72.00	62.00		3.10	-0.34	52.44
>	10.00	76.00	62.00		253.93	-28.20	131.98
>	10.00	80.00	62.00		149.81	-16.64	-111.01
>	10.00	84.00	62.00		35.10	-3.90	127.10
>	10.00	88.00	62.00		289.18	-32.12	58.81
>	10.00	40.00	66.00		-204.34	22.70	314.69
>	10.00	44.00	66.00		48.49	-5.39	241.88
>	10.00	48.00	66.00		-171.54	19.05	96.95
>	10.00	52.00	66.00		-136.73	15.19	359.23
>	10.00	56.00	66.00		37.80	-4.20	161.29
>	10.00	60.00	66.00		-225.17	25.01	157.78
>	10.00	64.00	66.00		-55.92	6.21	360.31
>	10.00	68.00	66.00		-14.21	1.58	99.05
>	10.00	72.00	66.00		-237.99	26.43	238.06
>	10.00	76.00	66.00		12.84	-1.43	317.60
>	10.00	80.00	66.00		-91.28	10.14	74.61
>	10.00	84.00	66.00		-205.99	22.88	312.72
>	10.00	88.00	66.00		48.09	-5.34	244.43
>	10.00	40.00	70.00		-95.44	10.60	29.58
